project_id	display_name	source_type	original_url	original_url_status	original_author	upstream_repository	upstream_path	archive_name	original_local_path	content_hash	framework	runtime	package_manager	license	license_status	source_in_public_repo	github_project_path	vercel_project_name	preview_url	production_url	functional_status	last_verified_at	desktop_screenshot	mobile_screenshot	compatibility_changes	known_limitations	related_projects	tags
glasslab-glassmorphism-main-glassmorphism-main	glasslab-glassmorphism-main-glassmorphism-main	unknown		active	unknown			glassmorphism-main		196149687a53b4692afd46f94a4a9c1332d65122dffc72a0800a91bc8ee5a7a8	static-html	browser	npm	unknown	unknown	True	projects/glasslab-glassmorphism-main-glassmorphism-main	glasslab-glassmorphism-main-glassmo		https://glasslab-glassmorphism-main-glassmo.vercel.app	verified-functional	2026-07-10T01:09:18.782754	reports/functional-verification/glasslab-glassmorphism-main-glassmorphism-main/initial.png	reports/functional-verification/glasslab-glassmorphism-main-glassmorphism-main/mobile.png			[]	[]
glasslab-glass-refraction-master-1-glass-refraction-master	glasslab-glass-refraction-master-1-glass-refraction-master	unknown		active	unknown			glass-refraction-master-1		c257900a44f008f3ba306634a2c0ae3efb3a3fe82be00e4097fc35dec8c4674b	react	browser	npm	unknown	unknown	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master				library-skipped	2026-07-10T01:09:18.782816	reports/functional-verification/glasslab-glass-refraction-master-1-glass-refraction-master/initial.png	reports/functional-verification/glasslab-glass-refraction-master-1-glass-refraction-master/mobile.png			[]	[]
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	unknown		active	unknown			glass-refraction-master-1		68820a9a7d5fc2afea9ba95c2d521947896616c65f825020fcc6cbafce11bb32	static-html	browser	npm	unknown	unknown	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla				broken-local-render	2026-07-10T01:09:18.782856					[]	[]
glasslab-css-glass-main-css-glass-main	glasslab-css-glass-main-css-glass-main	unknown		active	unknown			css-glass-main		6a93024029c096e0d53a2ccf3fd40dda0885c948a262d8803eecbea7ce723c0d	static-html	browser	pnpm	unknown	unknown	True	projects/glasslab-css-glass-main-css-glass-main				library-skipped	2026-07-10T01:09:18.782868					[]	[]
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	unknown		active	unknown			slider-button-liquid-glass-apple-ios-262025		3c4e14b4aff47af342db40b8013d245703c6379216905d5449b8b383d980e93f	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	glasslab-slider-button-liquid-glass		https://glasslab-slider-button-liquid-glass.vercel.app	verified-functional	2026-07-10T01:09:18.783021	reports/functional-verification/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src/initial.png	reports/functional-verification/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src/mobile.png			[]	[]
glasslab-glass-model-1-glass-model-src	glasslab-glass-model-1-glass-model-src	unknown		active	unknown			glass-model-1		ee63634fb0a1249cf5e904aee409a1569c699f4a2898a4a764232049560af695	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-glass-model-1-glass-model-src	glasslab-glass-model-1-glass-model		https://glasslab-glass-model-1-glass-model.vercel.app	verified-functional	2026-07-10T01:09:18.783219	reports/functional-verification/glasslab-glass-model-1-glass-model-src/initial.png	reports/functional-verification/glasslab-glass-model-1-glass-model-src/mobile.png			[]	[]
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	unknown		active	unknown			cross-browser-liquid-toggle-drag-tap		1e243f4b27094b869d2b8cb9f688f0a88c1151970d34bb4b6cd59d9a2cab7de0	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	glasslab-cross-browser-liquid-toggl		https://glasslab-cross-browser-liquid-toggl.vercel.app	verified-functional	2026-07-10T01:09:18.783384	reports/functional-verification/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src/initial.png	reports/functional-verification/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src/mobile.png			[]	[]
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	unknown		active	unknown			liquid-glass-effect-wwdc25		f5bdee0eb49dc89ec340802f672dcbc364f6abd84c53efa903c968d5b0a93997	static-html	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	glasslab-liquid-glass-effect-wwdc25		https://glasslab-liquid-glass-effect-wwdc25.vercel.app	verified-functional	2026-07-10T01:09:18.783542	reports/functional-verification/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src/initial.png	reports/functional-verification/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src/mobile.png			[]	[]
glasslab-7-css-main-7-css-main	glasslab-7-css-main-7-css-main	unknown		active	unknown			7-css-main		70c7b8895468980c0693bb7da438e08fd7220576f4dc95e722757075096a38ba	static-html	browser	npm	unknown	unknown	True	projects/glasslab-7-css-main-7-css-main				library-skipped	2026-07-10T01:09:18.783624					[]	[]
glasslab-liquid-glass-main-liquid-glass-main	glasslab-liquid-glass-main-liquid-glass-main	unknown		active	unknown			liquid-glass-main		ef3a17337490fd79ea1b3582794d37f45c92c782aa6d7446abecf3abde6f3cc4	static-html	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-main-liquid-glass-main	glasslab-liquid-glass-main-liquid-g		https://glasslab-liquid-glass-main-liquid-g.vercel.app	verified-functional	2026-07-10T01:09:18.783779	reports/functional-verification/glasslab-liquid-glass-main-liquid-glass-main/initial.png	reports/functional-verification/glasslab-liquid-glass-main-liquid-glass-main/mobile.png			[]	[]
glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	unknown		active	unknown			7-aero-stylesheet-main		d347872c6942f9677ed67ba8a0ca113b9b94a543634de6f8872faf4ad7f6864b	static-html	browser	npm	unknown	unknown	True	projects/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main				broken-local-render	2026-07-10T01:09:18.783836	reports/functional-verification/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main/initial.png	reports/functional-verification/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main/mobile.png			[]	[]
glasslab-glass-button-css-only-1-glass-button-css-only-src	glasslab-glass-button-css-only-1-glass-button-css-only-src	unknown		active	unknown			glass-button-css-only-1		b264017ca784cd3d1d9703c0cc7d143041792407327e995239aaecc15c81e395	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-glass-button-css-only-1-glass-button-css-only-src	glasslab-glass-button-css-only-1-gl		https://glasslab-glass-button-css-only-1-gl.vercel.app	verified-functional	2026-07-10T01:09:18.783988	reports/functional-verification/glasslab-glass-button-css-only-1-glass-button-css-only-src/initial.png	reports/functional-verification/glasslab-glass-button-css-only-1-glass-button-css-only-src/mobile.png			[]	[]
glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	unknown		active	unknown			pure-css-ios-26-liquid-glass-effect		beeaeb70aa3b5cbca732fda318f91de4fae04af11d6767dbc147a685b8b4304e	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	glasslab-pure-css-ios-26-liquid-gla		https://glasslab-pure-css-ios-26-liquid-gla.vercel.app	verified-functional	2026-07-10T01:09:18.784146	reports/functional-verification/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src/initial.png	reports/functional-verification/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src/mobile.png			[]	[]
glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	unknown		active	unknown			apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos		a70f9df2f7a8763cf4334a57d5eed4fca3d72c9b98dd58a34965d90042da0ea2	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	glasslab-apple-liquid-glass-from-lu		https://glasslab-apple-liquid-glass-from-lu.vercel.app	verified-functional	2026-07-10T01:09:18.784290	reports/functional-verification/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src/initial.png	reports/functional-verification/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src/mobile.png			[]	[]
glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	unknown		active	unknown			liquid-glass-scroll-drag-configure-chromium		2c906d1e6582091411029521351ede30b282c45233fc204adaa95100c87142fe	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	glasslab-liquid-glass-scroll-drag-c		https://glasslab-liquid-glass-scroll-drag-c.vercel.app	verified-functional	2026-07-10T01:09:18.784417	reports/functional-verification/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src/initial.png	reports/functional-verification/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src/mobile.png			[]	[]
glasslab-liquidgl-main-liquidgl-main	glasslab-liquidgl-main-liquidgl-main	unknown		active	unknown			liquidgl-main		97703ac400cbb1a9a081a21f3d273efbb49a48d88f48262277dfc5234ce74852	static-html	browser	npm	unknown	unknown	True	projects/glasslab-liquidgl-main-liquidgl-main	glasslab-liquidgl-main-liquidgl-mai		https://glasslab-liquidgl-main-liquidgl-mai.vercel.app	broken-production-render	2026-07-10T01:09:18.784545	reports/functional-verification/glasslab-liquidgl-main-liquidgl-main/initial.png	reports/functional-verification/glasslab-liquidgl-main-liquidgl-main/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	unknown		active	unknown			frontend-projects-main		db282624cec7c208abdfb7852effe1821115001b7bdb594b67fa55afca995feb	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	glasslab-frontend-projects-main-fro		https://glasslab-frontend-projects-main-fro.vercel.app	verified-functional	2026-07-10T01:09:18.784706	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-css-if-function	glasslab-frontend-projects-main-frontend-projects-main-css-if-function	unknown		active	unknown			frontend-projects-main		69914860a1b973724f88abc5270bf3bf80e5a670af969953da3ee2c45309cf8d	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-css-if-function	glasslab-frontend-projects-main-fro-nine		https://glasslab-frontend-projects-main-fro-nine.vercel.app	verified-functional	2026-07-10T01:09:18.784863	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-css-if-function/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-css-if-function/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront	glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront	unknown		active	unknown			frontend-projects-main		1f424e946ff9e7f011ed4aec73a07e0d5de0f4db8c836dde0e50d9ce7c0f3554	react	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront				library-skipped	2026-07-10T01:09:18.784942	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-tictactoe	glasslab-frontend-projects-main-frontend-projects-main-tictactoe	unknown		active	unknown			frontend-projects-main		4580ce971fd8f50deb711948ae2bc7d5f1a344282f197f21d08d2678930c743d	react	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe				library-skipped	2026-07-10T01:09:18.785004	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	unknown		active	unknown			frontend-projects-main		ab1e6112a660e7071a84449a7d530b2fc6e12590e372a0d1d3909ca0b06ea4b6	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	glasslab-frontend-projects-main-fro-eight		https://glasslab-frontend-projects-main-fro-eight.vercel.app	verified-functional	2026-07-10T01:09:18.785161	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	unknown		active	unknown			frontend-projects-main		46fac345d313d1d9818d51a1427f75b05a42c905035f7f26d13902186ce50ec7	vue	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	glasslab-frontend-projects-main-fro-ten		https://glasslab-frontend-projects-main-fro-ten.vercel.app	verified-functional	2026-07-10T01:09:18.785323	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	unknown		active	unknown			frontend-projects-main		29c60bfdfd2b63dd060601c8ed2965be7289f5f80405323c3d52043a6d9f9e54	vue	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	glasslab-frontend-projects-main-fro-beta		https://glasslab-frontend-projects-main-fro-beta.vercel.app	verified-functional	2026-07-10T01:09:18.785459	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-vuetify-project/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-vuetify-project/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	unknown		active	unknown			frontend-projects-main		4d7358fae5023d701b5e0acc86a0596e6ebd89546fbf4d91eafd3198d7991213	react	browser	yarn	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch				broken-local-build	2026-07-10T01:09:18.785479					[]	[]
