project_id	archive_name	archive_root	candidate_root	workspace_root	relative_candidate_path	source_type	source_url	display_name	entrypoint_type	framework	runtime	package_manager	lockfile	build_required	build_command	dev_command	output_directory	html_is_complete_document	html_is_fragment	css_files	script_files	remote_scripts	remote_stylesheets	uses_jsx	uses_ts	uses_tsx	uses_react	uses_vue	uses_svelte	uses_scss	uses_less	uses_pug	uses_webgl	uses_canvas	uses_svg_filters	uses_external_assets	requires_workspace_context	license_status	content_hash	name_collision	notes
glasslab-glassmorphism-main-glassmorphism-main	glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	glassmorphism-main	github	https://github.com/lekandigital/glass-projects-lab	Glassmorphism Main Glassmorphism Main	html-document	static-html	browser	npm		False				True	False	css-examples/css/global.css,css-examples/css/card-base.css,css-examples/css/card-1.css,css-examples/css/card-2.css,css-examples/css/card-3.css,css-examples/css/card-nesting.css,css-examples/css/card-stacking.css,twcss-examples/css/signup-card-dark.css,twcss-examples/css/signup-card.css,twcss-examples/css/food-card.css		https://cdn.tailwindcss.com		False	False	False	False	False	False	False	False	False	False	False	False	True	False	unknown	196149687a53b4692afd46f94a4a9c1332d65122dffc72a0800a91bc8ee5a7a8	False	
glasslab-glass-refraction-master-1-glass-refraction-master	glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	glass-refraction-master	github	https://github.com/lekandigital/glass-projects-lab	Glass Refraction Master 1 Glass Refraction Master	package-app	react	browser	npm	package-lock.json	True	npm run build	npm run dev	dist	False	False	src/css/glass.css	tsup.config.ts,examples/nextjs/page.tsx,src/index.ts,src/react/GlassCard.tsx,src/react/GlassFilters.tsx,src/react/GlassPill.tsx,src/react/index.ts,src/react/Glass.tsx			False	True	True	True	False	False	False	False	False	True	False	True	False	False	unknown	c257900a44f008f3ba306634a2c0ae3efb3a3fe82be00e4097fc35dec8c4674b	False	
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	glass-refraction-master/examples/vanilla	github	https://github.com/lekandigital/glass-projects-lab	Glass Refraction Master 1 Glass Refraction Master Examples Vanilla	html-document	static-html	browser	npm		False				True	False					False	False	False	True	False	False	False	False	False	False	False	True	False	False	unknown	68820a9a7d5fc2afea9ba95c2d521947896616c65f825020fcc6cbafce11bb32	False	
glasslab-css-glass-main-css-glass-main	css-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	css.glass-main	github	https://github.com/lekandigital/glass-projects-lab	Css Glass Main Css.Glass Main	package-app	static-html	browser	pnpm	pnpm-lock.yaml	True	pnpm run build	pnpm run dev	dist	False	False	assets/css/main.css,assets/css/general.css	nuxt.config.js,plugins/vue-clipboard2.js,components/UXCanvasBanner.vue,components/Slider.vue,components/Preview.vue,components/Editor.vue,components/ApplyFoxBanner.vue,components/ScatteredPreviewPanels.vue,components/ColorPicker.vue,layouts/default.vue,pages/index.vue			False	False	False	False	True	False	False	False	False	False	True	False	False	False	unknown	6a93024029c096e0d53a2ccf3fd40dda0885c948a262d8803eecbea7ce723c0d	False	
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	slider-button-liquid-glass-apple-ios-262025	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	slider-button-liquid-glass-apple-ios-262025/src	github	https://github.com/lekandigital/glass-projects-lab	Slider Button Liquid Glass Apple Ios 262025 Slider Button Liquid Glass Apple Ios 262025 Src	html-fragment	html-fragment	browser	npm		False				False	True	style.css	script.js			False	False	False	False	False	False	False	False	False	False	False	True	False	False	unknown	3c4e14b4aff47af342db40b8013d245703c6379216905d5449b8b383d980e93f	False	
glasslab-glass-model-1-glass-model-src	glass-model-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	glass-model/src	github	https://github.com/lekandigital/glass-projects-lab	Glass Model 1 Glass Model Src	html-fragment	html-fragment	browser	npm		False				False	True	style.css				False	False	False	False	False	False	False	False	False	False	False	False	False	False	unknown	ee63634fb0a1249cf5e904aee409a1569c699f4a2898a4a764232049560af695	False	
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	cross-browser-liquid-toggle-drag-tap	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	cross-browser-liquid-toggle-drag-tap/src	github	https://github.com/lekandigital/glass-projects-lab	Cross Browser Liquid Toggle Drag Tap Cross Browser Liquid Toggle Drag Tap Src	html-fragment	html-fragment	browser	npm		False				False	True	style.css	script.js	https://esm.sh/gsap@3.13.0,https://esm.sh/gsap@3.13.0/Draggable,https://esm.sh/tweakpane@4.0.4		False	False	False	False	False	False	False	False	False	False	True	False	True	False	unknown	1e243f4b27094b869d2b8cb9f688f0a88c1151970d34bb4b6cd59d9a2cab7de0	False	
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	liquid-glass-effect-wwdc25	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	liquid-glass-effect-wwdc25/src	github	https://github.com/lekandigital/glass-projects-lab	Liquid Glass Effect Wwdc25 Liquid Glass Effect Wwdc25 Src	html-document	static-html	browser	npm		False				True	False	style.css				False	False	False	False	False	False	False	False	False	False	False	True	False	False	unknown	f5bdee0eb49dc89ec340802f672dcbc364f6abd84c53efa903c968d5b0a93997	False	
glasslab-7-css-main-7-css-main	7-css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	7.css-main	github	https://github.com/lekandigital/glass-projects-lab	7 Css Main 7.Css Main	package-app	static-html	browser	npm	package-lock.json	True	npm run build		dist	False	False	docs/vs.css,docs/docs.css,gui/_progressbar.scss,gui/_variables.scss,gui/index.scss,gui/_typography.scss,gui/_radiobutton.scss,gui/_checkbox.scss,gui/_window.scss,gui/_listview.scss,gui/_groupbox.scss,gui/_combobox.scss,gui/_balloon.scss,gui/_button.scss,gui/_textbox.scss,gui/_tabs.scss,gui/_treeview.scss,gui/_menu.scss,gui/_slider.scss,gui/_collapse.scss,gui/_spinner.scss,gui/_scrollbar.scss,gui/_searchbox.scss,gui/_listbox.scss,gui/_dropdown.scss	server.js,build.js,docs/script.js			True	False	False	True	False	False	True	False	False	False	False	False	False	False	unknown	70c7b8895468980c0693bb7da438e08fd7220576f4dc95e722757075096a38ba	False	
glasslab-liquid-glass-main-liquid-glass-main	liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	liquid-glass-main	github	https://github.com/lekandigital/glass-projects-lab	Liquid Glass Main Liquid Glass Main	html-document	static-html	browser	npm		False				True	False	index.css	bg-picker.js	https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js		False	False	False	False	False	False	False	False	False	True	True	True	True	False	unknown	ef3a17337490fd79ea1b3582794d37f45c92c782aa6d7446abecf3abde6f3cc4	False	
