archive_name	archive_root	candidate_root	candidate_type	framework	package_manager	lockfile	project_name
glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	static-html	static-html	npm		glasslab-glassmorphism-main-glassmorphism-main
glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	unknown	unknown	npm	package-lock.json	glasslab-glass-refraction-master-1-glass-refraction-master
glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	static-html	static-html	npm		glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla
css-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	nuxt	nuxt	pnpm	pnpm-lock.yaml	glasslab-css-glass-main-css-glass-main
slider-button-liquid-glass-apple-ios-262025	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	static-html	static-html	npm		glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src
glass-model-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	static-html	static-html	npm		glasslab-glass-model-1-glass-model-src
cross-browser-liquid-toggle-drag-tap	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	static-html	static-html	npm		glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src
liquid-glass-effect-wwdc25	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	static-html	static-html	npm		glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src
7-css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	unknown	unknown	npm	package-lock.json	glasslab-7-css-main-7-css-main
liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	static-html	static-html	npm		glasslab-liquid-glass-main-liquid-glass-main
7-aero-stylesheet-main	/Users/lekan/Dev/glass-projects-lab/originals/7-aero-stylesheet-main	/Users/lekan/Dev/glass-projects-lab/originals/7-aero-stylesheet-main/7-Aero-Stylesheet-main	static-html	static-html	npm		glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main
glass-button-css-only-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-button-css-only-1	/Users/lekan/Dev/glass-projects-lab/originals/glass-button-css-only-1/glass-button-css-only/src	static-html	static-html	npm		glasslab-glass-button-css-only-1-glass-button-css-only-src
pure-css-ios-26-liquid-glass-effect	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-ios-26-liquid-glass-effect	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-ios-26-liquid-glass-effect/pure-css-ios-26-liquid-glass-effect/src	static-html	static-html	npm		glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src
apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/src	static-html	static-html	npm		glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src
liquid-glass-scroll-drag-configure-chromium	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-scroll-drag-configure-chromium	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-scroll-drag-configure-chromium/liquid-glass-scroll-drag-configure-chromium/src	codepen-export	codepen-export	npm		glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src
liquidgl-main	/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main	/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main/liquidGL-main	static-html	static-html	npm		glasslab-liquidgl-main-liquidgl-main
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe (vanilla)	static-html	static-html	npm		glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/css-if-function	static-html	static-html	npm		glasslab-frontend-projects-main-frontend-projects-main-css-if-function
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-custom-storefront	unknown	unknown	npm	package-lock.json	glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe	create-react-app	create-react-app	npm	package-lock.json	glasslab-frontend-projects-main-frontend-projects-main-tictactoe
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe/public	static-html	static-html	npm		glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public
