project_id	source_in_public_repo	github_project_path
glasslab-glassmorphism-main-glassmorphism-main	True	projects/glasslab-glassmorphism-main-glassmorphism-main
glasslab-glass-refraction-master-1-glass-refraction-master	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla
glasslab-css-glass-main-css-glass-main	True	projects/glasslab-css-glass-main-css-glass-main
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	True	projects/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src
glasslab-glass-model-1-glass-model-src	True	projects/glasslab-glass-model-1-glass-model-src
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	True	projects/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	True	projects/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src
glasslab-7-css-main-7-css-main	True	projects/glasslab-7-css-main-7-css-main
glasslab-liquid-glass-main-liquid-glass-main	True	projects/glasslab-liquid-glass-main-liquid-glass-main
glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	True	projects/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main
glasslab-glass-button-css-only-1-glass-button-css-only-src	True	projects/glasslab-glass-button-css-only-1-glass-button-css-only-src
glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	True	projects/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src
glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	True	projects/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src
glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	True	projects/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src
