vercel_project_name	deployment_id	deployment_url	created_at	production_or_preview	deployment_state	source_branch	source_commit	mapped_project_id	notes
glasslab-kube-liquid-glass-css-svg	dpl_GyUbpLUUridQ4e62oBZrbioGH8PH	https://glasslab-kube-liquid-glass-css-hr04ps4f6-lekandigitals-projects.vercel.app	2026-07-10T05:08:02.164000+00:00	production	READY				
glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	dpl_C6NDSTXzmqJUcq9uzB84yy3PZYcN	https://glasslab-apple-liquid-glass-ui-2025-apple-liquid-3pz058wgf.vercel.app	2026-07-10T05:07:55.738000+00:00	production	READY				
glasslab-codepen-hdshy-rnravzr	dpl_4YJqttE49ECbkCkVe1PG4fXted2f	https://glasslab-codepen-hdshy-rnravzr-c3g399y92-lekandigitals-projects.vercel.app	2026-07-10T05:07:50.182000+00:00	production	READY				
glasslab-ios-liquid-glass-ios-liquid-glass-src	dpl_Bfskkp45A8ypDQzqj479aaaDKTtP	https://glasslab-ios-liquid-glass-ios-liquid-glass-7odi98gfq.vercel.app	2026-07-10T05:07:30.367000+00:00	production	READY				
glasslab-liquid-glass-6-liquid-glass-src	dpl_AAydqoXVeVyoqQqDJ5spsxYSnQ31	https://glasslab-liquid-glass-6-liquid-glass-5l9b2gth8.vercel.app	2026-07-10T05:07:05.484000+00:00	production	READY				
glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-ki	dpl_xnQaCSnr4hLHAZy257ys9RD29v6M	https://glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-d1rtt8ipe.vercel.app	2026-07-10T05:06:58.262000+00:00	production	READY				
glasslab-svg-liquid-glass-1-svg-liquid-glass-src	dpl_6LBKahYj1iikQV9pbM5QuGbB7Yu6	https://glasslab-svg-liquid-glass-1-svg-liquid-glass-a92wge5b4.vercel.app	2026-07-10T05:06:46.729000+00:00	production	READY				
glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	dpl_6ToSHM4LDv1aa8p2XSxdMQkjLv1G	https://glasslab-liquid-glass-cubiq-liquid-glass-cubiq-hz9hjgaom.vercel.app	2026-07-10T05:06:20.702000+00:00	production	READY				
glasslab-glass-like-css-1-glass-like-css-src	dpl_2coDGHYxMhfb6uRWPdp5kPaGtMjV	https://glasslab-glass-like-css-1-glass-like-css-qmupejbuv.vercel.app	2026-07-10T05:05:59.941000+00:00	production	READY				
glasslab-liquidgl-main-liquidgl-main	dpl_9TJPc1uawUAaZ3ge5CP43617DugB	https://glasslab-liquidgl-main-liquidgl-main-8qxxsrdus.vercel.app	2026-07-10T05:04:51.670000+00:00	production	READY				
glasslab-liquid-glass-effect-liquid-glass-effect-src	dpl_9ABLPQFs6oFZj5uRzZuKRp3eYgQS	https://glasslab-liquid-glass-effect-liquid-glass-effect-8nry0c02e.vercel.app	2026-07-10T05:04:20.037000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-gam	dpl_4gbaycLUZCovWmKefLy8k5jTV187	https://glasslab-frontend-projects-main-frontend-projects-os1y7u4di.vercel.app	2026-07-10T05:03:41.041000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	dpl_ANfJAKA5xQbGeZcmjwQginU8qMZM	https://glasslab-frontend-projects-main-frontend-projects-lb0ssv9g0.vercel.app	2026-07-10T05:03:16.554000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	dpl_Ch3Lc3GnUSUveJRmidadwq8JMdR3	https://glasslab-frontend-projects-main-frontend-projects-fd3xt0fta.vercel.app	2026-07-10T05:02:09.219000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	dpl_HiUoTJcvaCobTFjdUDuzjvqhoJTw	https://glasslab-frontend-projects-main-frontend-projects-cf1azfjef.vercel.app	2026-07-10T05:01:36.998000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	dpl_23U7w3GBv2FV2boofZJD1VCeUVCs	https://glasslab-frontend-projects-main-frontend-projects-7g65eawkx.vercel.app	2026-07-10T05:01:15.454000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-css-if-function	dpl_3e82Fxcai43RZQNWfB73rgwwTAJV	https://glasslab-frontend-projects-main-frontend-projects-oocuecp0c.vercel.app	2026-07-10T05:01:00.014000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	dpl_GxZt25s6w1e58jfegbdVJCMLEutQ	https://glasslab-frontend-projects-main-frontend-projects-lhzn51bxh.vercel.app	2026-07-10T05:00:36.493000+00:00	production	READY				
glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	dpl_5QuPyJVRDEgQR9Wv2sfbHiw7HsGV	https://glasslab-liquid-glass-scroll-drag-configure-chromium-i1ftt6wqu.vercel.app	2026-07-10T04:59:56.133000+00:00	production	READY				
glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-fro	dpl_TJgM4bR4WTqFSgpwFSPUYWyoyPGA	https://glasslab-apple-liquid-glass-from-lucasromerodb-liqui-8p36nscxg.vercel.app	2026-07-10T04:59:36.544000+00:00	production	READY				
glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	dpl_JBq4ZWHrJMaUsGAafbD2qFtYziPj	https://glasslab-pure-css-ios-26-liquid-glass-effect-pure-jyb10ydjt.vercel.app	2026-07-10T04:59:18.706000+00:00	production	READY				
glasslab-glass-button-css-only-1-glass-button-css-only-src	dpl_AiQ1rY1ou1RMgHM9C7Pr4aJRH5c3	https://glasslab-glass-button-css-only-1-glass-button-css-e4xr6vaks.vercel.app	2026-07-10T04:58:54.702000+00:00	production	READY				
glasslab-liquid-glass-main-liquid-glass-main	dpl_34g5vRYBp2kKphVh86N2v6ns542L	https://glasslab-liquid-glass-main-liquid-glass-main-328tl4by8.vercel.app	2026-07-10T04:58:31.468000+00:00	production	READY				
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	dpl_4f1uFqNYh9CEiVhJH9gouxRwbv85	https://glasslab-liquid-glass-effect-wwdc25-liquid-glass-hoavscu8f.vercel.app	2026-07-10T04:58:15.338000+00:00	production	READY				
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	dpl_Fi3sBHLj5aGJEyG3UyrRWW5P8J4u	https://glasslab-cross-browser-liquid-toggle-drag-tap-cross-mu7gc8gy6.vercel.app	2026-07-10T04:57:59.246000+00:00	production	READY				
glasslab-glass-model-1-glass-model-src	dpl_8CzLV6qufLw4VBEUVhXbg2H91rPV	https://glasslab-glass-model-1-glass-model-1knfxye64.vercel.app	2026-07-10T04:57:35.979000+00:00	production	READY				
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	dpl_7fHTkoePjLTmg7rFpWMtVBwKGndX	https://glasslab-slider-button-liquid-glass-apple-ios-262025-bnixcq19r.vercel.app	2026-07-10T04:57:12.604000+00:00	production	READY				
glasslab-glassmorphism-main-glassmorphism-main	dpl_64y2tkGTaSbFExfrRRkPYL5ES6Bj	https://glasslab-glassmorphism-main-glassmorphism-main-16mkuhz11.vercel.app	2026-07-10T04:56:55.729000+00:00	production	READY				
glasslab-gallery	dpl_6dzqpuAhFymtSvN6V5JcNomtNtM5	https://glasslab-gallery-6prv41n8b-lekandigitals-projects.vercel.app	2026-07-10T02:36:23.662000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	dpl_D3MaVyk9doC3ELVmMaUeBKJuGjwh	https://glasslab-frontend-projects-main-frontend-projects-g6boog91z.vercel.app	2026-07-10T02:35:36.070000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	dpl_2HzVDmGVkebSGcTDXQ7x31pLdaAM	https://glasslab-frontend-projects-main-frontend-projects-b8xetfdll.vercel.app	2026-07-10T02:35:12.363000+00:00	production	READY				
glasslab-liquid-glass-react-master-liquid-glass-react-master	dpl_HZYgWAcAQK3fXjS5uyRZEh7i7ZJS	https://glasslab-liquid-glass-react-master-liquid-glass-reac-kxcgugkl4.vercel.app	2026-07-10T02:34:17.289000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-react	dpl_H2TLk2EfjKTeN8iHXdfPAbBFyNFW	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-jk0mg0lhr.vercel.app	2026-07-10T02:34:08.251000+00:00	production	READY				
