project_id	vercel_project_name	github_repository	github_root_directory	deployment_method	production_url	last_deployment	functional_status	last_verified_at	notes
glasslab-glassmorphism-main-glassmorphism-main	glasslab-glassmorphism-main-glassmo	lekandigital/glass-projects-lab	projects/glasslab-glassmorphism-main-glassmorphism-main	CLI	https://glasslab-glassmorphism-main-glassmo.vercel.app	2026-07-10T01:09:18.782754	verified-functional	2026-07-10T01:09:18.782754	
glasslab-glass-refraction-master-1-glass-refraction-master		lekandigital/glass-projects-lab	projects/glasslab-glass-refraction-master-1-glass-refraction-master	CLI		2026-07-10T01:09:18.782816	library-skipped	2026-07-10T01:09:18.782816	
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla		lekandigital/glass-projects-lab	projects/glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	CLI		2026-07-10T01:09:18.782856	broken-local-render	2026-07-10T01:09:18.782856	
glasslab-css-glass-main-css-glass-main		lekandigital/glass-projects-lab	projects/glasslab-css-glass-main-css-glass-main	CLI		2026-07-10T01:09:18.782868	library-skipped	2026-07-10T01:09:18.782868	
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	glasslab-slider-button-liquid-glass	lekandigital/glass-projects-lab	projects/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	CLI	https://glasslab-slider-button-liquid-glass.vercel.app	2026-07-10T01:09:18.783021	verified-functional	2026-07-10T01:09:18.783021	
glasslab-glass-model-1-glass-model-src	glasslab-glass-model-1-glass-model	lekandigital/glass-projects-lab	projects/glasslab-glass-model-1-glass-model-src	CLI	https://glasslab-glass-model-1-glass-model.vercel.app	2026-07-10T01:09:18.783219	verified-functional	2026-07-10T01:09:18.783219	
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	glasslab-cross-browser-liquid-toggl	lekandigital/glass-projects-lab	projects/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	CLI	https://glasslab-cross-browser-liquid-toggl.vercel.app	2026-07-10T01:09:18.783384	verified-functional	2026-07-10T01:09:18.783384	
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	glasslab-liquid-glass-effect-wwdc25	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	CLI	https://glasslab-liquid-glass-effect-wwdc25.vercel.app	2026-07-10T01:09:18.783542	verified-functional	2026-07-10T01:09:18.783542	
glasslab-7-css-main-7-css-main		lekandigital/glass-projects-lab	projects/glasslab-7-css-main-7-css-main	CLI		2026-07-10T01:09:18.783624	library-skipped	2026-07-10T01:09:18.783624	
glasslab-liquid-glass-main-liquid-glass-main	glasslab-liquid-glass-main-liquid-g	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-main-liquid-glass-main	CLI	https://glasslab-liquid-glass-main-liquid-g.vercel.app	2026-07-10T01:09:18.783779	verified-functional	2026-07-10T01:09:18.783779	
glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main		lekandigital/glass-projects-lab	projects/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	CLI		2026-07-10T01:09:18.783836	broken-local-render	2026-07-10T01:09:18.783836	
glasslab-glass-button-css-only-1-glass-button-css-only-src	glasslab-glass-button-css-only-1-gl	lekandigital/glass-projects-lab	projects/glasslab-glass-button-css-only-1-glass-button-css-only-src	CLI	https://glasslab-glass-button-css-only-1-gl.vercel.app	2026-07-10T01:09:18.783988	verified-functional	2026-07-10T01:09:18.783988	
glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	glasslab-pure-css-ios-26-liquid-gla	lekandigital/glass-projects-lab	projects/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	CLI	https://glasslab-pure-css-ios-26-liquid-gla.vercel.app	2026-07-10T01:09:18.784146	verified-functional	2026-07-10T01:09:18.784146	
